employee_id,name,company,hire_date,birthdate,area
59499246549,Luis Bush,VZ,2020-01-24,1963-07-20,2
47069060349,Johnathan Morse,INTC,2017-06-23,1991-10-01,2
98642134473,Mr. Michael Ortiz II,AAPL,2014-03-16,1953-03-29,2
71837901128,Richard Francis,MSFT,2012-12-05,1999-12-13,2
73688092865,Michael Harding,AMZN,2018-04-02,2000-07-19,4
61326352962,Amber Mason,FB,2012-12-22,1976-12-17,2
61257236657,Cindy Fuller,VZ,2011-04-05,1980-11-02,1
98413907780,Melissa Caldwell,INTC,2019-06-08,1977-11-10,4
86936448735,Frederick Munoz,AAPL,2013-02-12,1960-12-11,1
85454825015,Jessica Fisher,MSFT,2015-09-24,1963-12-29,1
80070678413,Tina Zhang,AMZN,2018-07-23,1978-12-26,2
